faculty,institution
"Fang, Jimmy Zhenmin;CUNY;1990",City University Hong Kong
"Fanning, Kurt;University of Kansas;1994",Grand Valley State University
"Farahbod, Kamvar;Oklahoma State University;1986","California State University, San Bernardino"
"Farbo, John;University of Idaho;1985",University of Idaho
"Farfsing, Greg;Union Institute & University",Northern Kentucky University
"Farkash, Alexander;University of Minnesota;1977",Canisius College
"Farney, Harriet F.;University of Connecticut;1987",Saint Joseph's College
"Farrell, Brian;University of Technology Sydney;1997",University of Technology Sydney
"Farrell, Rev. John;Catholic University of America;1972",Villanova University
"Farrell, Ronald A.;University of Cincinnati;1972",City College of New York
"Farrimond, George F.;University of Portland;1989",Southern Oregon University
"Faseruk, Alexander J.;University of Kentucky;1989",Memorial University of Newfoundland
"Fask, Alan S.;New York University;1973",Fairleigh Dickinson University
"Fathi, Mashalah Michael;Nova Southeastern University;1984",Georgia Southwestern State University
"Faugere, Chrisophe;University of Rochester;1993",University at Albany
"Faught, Jacqueline;Georgia State University;1998",University of Rhode Island
"Faurer, Judson;University of Denver;1972",Metropolitan State University of Denver
"Faus, Josep;ETSII",University of Navarra
"Faust, Ronald;University of Iowa;1972",University of Evansville
"Favia, Joao;University of Kent;1998","University of Texas, Dallas"
"Favor, Homer;University of Pittsburgh;1960",Morgan State University
"Fay, Jack R.;University of Arkansas;1975",Pittsburg State University
"Fazel-Sarjui, Farzaneh;University of Illinois;1983",Illinois State University
"Fazeli, Rafat R.;The New School;1992",University of Redlands
"Fazzi, Charles;Pennsylvania State University;1983",Robert Morris University
"Feffries, Francis;Washington State University;1996","University of Alaska, Anchorage"
"Feiedberg, Leora",Massachusetts Institute of Technology
"Feiring, Bruce;Texas A&M University;1979",Suffolk University
"Feist, William R.;Temple University;1987",Monmouth University
"Feldhaus, William R.;Georgia State University;1980",Georgia State University
"Felheim, Robert;New York University;1974",Adelphi University
"Feller, James F.;University of Florida;1979",Middle Tennessee State University
"Feltus, Oliver L.;University of Alabama;1986",Eastern Kentucky University
"Fender, Ann Harper;Johns Hopkins University;1976",Gettysburg College
"Feng, Li;Florida State University;2006",SUNY Fredonia
"Fennema, Martin G. (Bud);University of Illinois;1993",Florida State University
"Fennema, Martin G.;University of Illinois;1993",Florida State University
"Fenollosa, Michael K.;Boston College;1994",Framingham State College
"Fenton, Dean;Syracuse University;1978",Morehead State University
"Fenton, James W. Jr.;University of Iowa;1981",Utah Valley State College
"Ferdnance, Tyrone;University of Notre Dame;1994",Hampton University
"Ferdowsi, Abdollah;Michigan State University;1982",Ferris State University
"Ferguson, Jerry T.;University of Florida;1978",Virginia Commonwealth University
"Ferguson, Mike;Indiana University;1992",University of Cincinnati
"Ferk, Dyanne","University of Illinois, Springfield"
"Ferk, Dyanne;Saint Louis University;1995","University of Illinois, Springfield"
"Fernandez, Pablo;Harvard University",University of Navarra
"Fernando, Chitru W.;University of Pennsylvania;1991",University of Oklahoma
"Ferran, Manuel A.;University of Oklahoma;1969",New Mexico Highlands University
"Ferran, Manuel;University of Oklahoma;1969",New Mexico Highlands University
"Ferry, Jerry W.;University of Arkansas;1986",University of North Alabama
"Fichman, Rob;Massachusetts Institute of Technology;1995",Boston College
"Fiebelkorn, George A.;Georgia State University;1977",Marymount University
"Field, William P. Jr.;University of North Carolina;1971",Nicholls State University
"Fielding, William T.;University of South Carolina;1976",Jacksonville State University
"Fields, D. Michael;University of Arkansas;1984",Central Michigan University
"Figgins, Bob G.;University of Arkansas;1972","University of Tennessee, Martin"
"Figgins, Bob G.;University of Arkansas;1973","University of Tennessee, Martin"
"Figgins, Bob G.;University of Arkansas;1978","University of Tennessee, Martin"
"Filemon, Campo-Flores;University of California, Los Angeles;1968","California State University, Long Beach"
"Finch, Elizabeth;Louisiana State University;1995",Southern University and A&M College
"Finch, Michael L.;University of Tennessee;1994","University of Maryland, College Park"
"Findley, Hank;Auburn University;1995",Troy State University
"Fine, Corey R.;Leeds University;1996",University of North Florida
"Finkley, Richard H.;University of Texas at Austin;1975",Governors State University
"Finkley, Richard;University of Texas at Austin;1975",Governors State University
"Finney, Sharon G.;Georgia State University;1989",Morgan State University
"Finucane, Brendan P.;University of Pittsburgh;1982",Shippensburg University
"Fiol, Michel;Paris IX;1991",HEC Paris
"Fiorentino, Christopher M.;Temple University;1989",West Chester University
"Fiorentino, Christopher;Temple University;1989",West Chester University
"Firenze, Louis J.;Michigan State University;1982",Northwood University
"Fischer, Bruce D.;Northwestern University;1987",Elmhurst College
"Fischer, Hartmut;University of California, Berkeley;1973",University of San Francisco
"Fischer, James H.;University of Wisconsin, Madison;1971","University of Wisconsin, Whitewater"
"Fischer, Michael R.;Northwestern University;1975",University of New Mexico
"Fischer, Paul M.;University of Wisconsin, Madison;1969","University of Wisconsin, Milwaukee"
"Fischer, Robert B.;University of Oregon","California State University, Chico"
"Fischman, Joshua;Massachusetts Institute of Technology",Tufts University
"Fischman, Myrna L.;New York University;1976",Long Island University
"Fishbein, Michael;Clark University;1981",Lyndon State College
"Fisher, E. G. (Jed);University of British Columbia;1979",University of Alberta
"Fisher, Philip C.;Stanford University;1979",University of Southern Indiana
"Fisher, Robert B.;University of Oregon","California State University, Chico"
"Fisher, Ted L.;Oklahoma State University;1977",Northeastern State University
"FitzRandolph, Peter Winfield;Tufts University;1979",St. Lawrence University
"Fitzgerald, Doireanne;Harvard University;2003","University of California, Santa Cruz"
"Fitzpatrick, William;University of Maryland, College Park;1986",Villanova University
"Fitzsimmons, Edward L.;University of Nebraska;1984",Creighton University
"Fitzsimons, Adrian P.;The New School;1984",St. John's University
"Flaherty, Daniel J.;Texas A&M University;1974",Texas State University
"Flaherty, Richard E.;University of Kansas;1971","University of Nevada, Las Vegas"
"Flake, Sandra;University of Wisconsin, Madison;1974",University of Northern Colorado
"Fleisher, Arthur A. III;George Mason University;1987",Metropolitan State University of Denver
"Fleisher, Craig;University of Pittsburgh;1991",University of New Brunswick
"Fleisher, Lisa;Cornell University;1997",Carnegie Mellon University
"Fleming, Garry A.;University of Kentucky;1979",Roanoke College
"Flessig, Adrian;North Carolina A&T State University;1993","California State University, Fullerton"
"Fletcher, Harold D.;University of Illinois;1971",Loyola University Maryland
"Fletcher, Jean W.;Washington University in St. Louis;1983",Gettysburg College
"Fletcher, Lehman B.;University of California, Berkeley;1969",Iowa State University
"Fletcher, Robert G.;University of California, Los Angeles;1971","California State University, Bakersfield"
"Flightner, James A.;University at Buffalo;1972",University of Montana
"Flint, Harold;Southern Illinois University;1972",Montclair State University
"Flores, Oscar;University of Cincinnati;1990",Minnesota State University Moorhead
"Flory-Truett, Lila J.;University of Iowa;1972","University of Texas, San Antonio"
"Flory-Truett, Lila;University of Iowa;1972","University of Texas, San Antonio"
"Fluker, John E.;University of Houston;1980",University of Arkansas at Pine Bluff
"Flynn, JoAnn;Purdue University;1984",Georgia College & State University
"Flynn, Sean;University of California, Berkeley;2002",Vassar College
"Flynn, Warren R.;University of Colorado;1973",University of South Alabama
"Fok, Yee Man (Lilian);Georgia State University;1992",University of New Orleans
"Folami, L. Bucky;Georgia State University;1999","University of Alabama, Birmingham"
"Foley, James W.;Michigan State University;1969",University of Miami
"Fongemie, Claude A.;University of Connecticut;1979",Trinity College Hartford
"Font, Vicente;University of Barcelona",University of Navarra
"Foran, Michael F.;University of Washington;1972",Wichita State University
"Forbus, Philip R.;University of Arkansas;1978",University of South Alabama
"Ford, Duane M.;Iowa State University;1984","University of Wisconsin, Platteville"
"Ford, Fengru L.;University of Washington;1996",University of Montana
"Ford, Timothy C.;University of New Hampshire","University of Texas, El Paso"
"Forster, Paul;UCI;2000",City University Hong Kong
"Forsyth, Timothy B.;University of Alabama;1991",Appalachian State University
"Fort, C. Patrick;University of Colorado;1993","University of Alaska, Anchorage"
"Fortino, Andres;CUNY",Marist College
"Fortner, Wesley O.;University of Alabama;1967",Austin Peay State University
"Fosbre, Anne;New York University;1984",Georgian Court University
"Foster, Dennis;University of Hawaii;1991",Northern Arizona University
"Foth, Edward C.;Michigan State University;1971",DePaul University
"Fournier, Bruce;York University;1976",Wilfrid Laurier University
"Fowler, Stuart;Southern Methodist University;1999",Middle Tennessee State University
"Fox, Douglas M.;Columbia University;1968",Western Connecticut State University
"Fox, Jerrald Mark;Union College;1992","CUNY, Brooklyn College"
"Fox, Mark;Harvard University;1998","CUNY, Brooklyn College"
"Fraihat, Haidar M.;University of Illinois;1992",King Fahd University of Petroleum & Minerals
"Frakes, Joyce E.;Stanford University;1971",University of Denver
"Fraley, Charles E.;University of Oklahoma;1978",Virginia Military Institute
"Francfort, Alfred J.;University of Pittsburgh;1972",James Madison University
"Francis, Andre;University of Chicago;2006",Emory University
"Francis, Deborah;University of South Carolina;1995",Auburn University at Montgomery
"Francis, Gary E.;University of Colorado;1972","California State University, Chico"
"Franck, David P.;University of Georgia;1998",Francis Marion University
"Frandsen, Mike;University of Texas at Austin;2003",Albion College
"Frangul, Ramzi N.;New York University;1973",Sacred Heart University
"Frankl, Jennifer;University of California, Berkeley;1996",Williams College
"Franquesa, Jaume;Purdue University;1999",Western Michigan University
"Frary, Paul E.;University of Arkansas;1974",Muhlenberg College
"Frary, Paul;University of Arkansas;1972",Muhlenberg College
"Fraser, Michele E.;University of Minnesota;1982",University of Calgary
"Frederick, David M.;University of Michigan;1986",University of Colorado
"Frederick, Elizabeth;University of Maryland, College Park;1985",Metropolitan State University of Denver
"Fredland, John E.;University of Michigan;1970",U.S. Naval Academy
"Fredrickson, Joann;University of South Dakota",Southwest Minnesota State University
"Fredrickson, Trygve;Walden;1999",Augustana University
"Free, Veronica;Mississippi State University;1970",University of North Alabama
"Freeley, James L.;Fordham University;1976",Long Island University
"Freeman, Albert Myrick III;University of Washington;1965",Bowdoin College
"Freeman, Eldridge T. Jr.;California Coast University;1985",Chicago State University
"Freeman, Jack L.;Michigan State University;1981",University of Windsor
"Freeman, James;Florida State University;1998","University of North Carolina, Greensboro"
"Freeman, Katherine;Florida State University;1978",University of Denver
"Freeman, Patricia A.;Louisiana State University;1988",Jackson State University
"Freiberg, Lewis;University of Kentucky;1972",Northeastern Illinois University
"Freitas, David",University of Rio Grande
"French, G. Richard;University of Mississippi;1990",Indiana University Southeast
"Frendewey, Jim O.;University of Colorado;1983",Michigan Technological University
"Frese, Philip B.;Drexel University;1993",Quinnipiac College
"Frese, Phillip B.;Drexel University;1993",Quinnipiac College
"Frese, Phillip;Drexel University;1992",Quinnipiac College
"Frevert, Peter;Purdue University;1964",University of Kansas
"Frew, Michael K.;University of Oklahoma;1994",Oklahoma City University
"Frey, Karen;University of Maryland, College Park;1994",Gettysburg College
"Frickel, Beverly;University of Nebraska;1992",University of Central Oklahoma
"Frieberg, Leora;Massachusetts Institute of Technology;1996","University of California, San Diego"
"Fried, Haim Dov;New York University;1977",New York University
"Friedlander, Judith","CUNY, Hunter College"
"Friedman, Avraham;University of Chicago;1969",Hebrew University of Jerusalem
"Friedman, Joseph;University of California, Berkeley;1975",Temple University
"Frings, Virginia;University of Memphis;1998",Lynchburg College
"Frino, Alessandro;University of Sydney",University of Sydney
"Friske, Karyn B.;Texas A&M University;1994",West Texas A&M University
"Frohlich, Norm;Princeton University;1971",University of Manitoba
"Fromovitz, Stan;Stanford University","University of Maryland, College Park"
"Frost, Ann;Massachusetts Institute of Technology",University of Western Ontario
"Frost, Douglas A.;Nova Southeastern University;1983",Bellevue University
"Frost, Douglas A.;Nova Southeastern University;1993",Bellevue University
"Froweiss, K.;Harvard University;1977",New York University
"Fry, Joseph N.;Stanford University",University of Western Ontario
"Frydlender, Alain;Paris IX;1985",HEC Paris
"Frykblom, Peter;Swedish U;1999",Appalachian State University
"Fryman, Richard F.;University of Illinois;1967",University of West Georgia
"Fugar, Chris V.;Howard University;1989",Dillard University
"Fugar, Christian V.;Howard University;1989",Dillard University
"Fugar, Christian;Howard University;1989",Dillard University
"Fuhs, F. Paul;University of Massachusetts;1975",Virginia Commonwealth University
"Fujihara, Ryo;University of Waterloo;1981",University of Tsukuba
"Fujimoto, Akiko;Yale University;2004",University of Alberta
"Fukasawa, Yoshi;Kansas State University;1974",Midwestern State University
"Fukasawa, Yoshi;Kansas State University;1978",Midwestern State University
"Fukasawa, Yoshi;Kansas State University;1979",Midwestern State University
"Fukasawa, Yoshikazu;Kansas State University;1979",Midwestern State University
"Fulks, Daniel L.;Georgia State University;1980",Transylvania University
"Fuller, M. Elaine;The New School;1998",Tuskegee University
"Fuller, Rex D.;University of Utah;1982","University of Wisconsin, La Crosse"
"Fuller, Rex;California State University, Chico;1982",Colorado State University Pueblo
"Fullop, Liz;University of New South Wales",University of Wollongong
"Fullwiler, Scott;University of Nebraska;2001",Wartburg College
"Fulmer, William E.;University of Pittsburgh;1995",Clarion University of Pennsylvania
"Fults, Gail J.;Claremont McKenna College;1985",Humboldt State University
"Fults, Gail J.;Claremont McKenna College;1987",Humboldt State University
"Funderburk, Dale R.;Oklahoma State University;1971",Texas A&M University–Commerce
"Fung, Kwok-Kwan;Harvard University;1970",University of Memphis
"Furfero, Arlene J.;Rutgers University;1980",St. John's University
"Furst, Oren;Columbia University;1997",Columbia University
"Furuya, K.;University of California, Berkeley;1996","University of California, Irvine"
"Futayyeh, Mohamed-Amin;University of Oklahoma;1970",University of Louisiana at Monroe
"Gaber, Mohamed K.;CUNY, Baruch College;1985",SUNY Plattsburgh
"Gaber, Mohamed;CUNY, Baruch College;1985",SUNY Plattsburgh
"Gadd, H. Robert;University of Texas, Arlington;2000",Southern Adventist University
"Gadd, Robert",Southern Adventist University
"Gaddis, Marcus;University of Kentucky;1993",Morehead State University
"Gagnon, Jacques;University of Grenobles;1994",Sherbrooke University
"Gagnon, Roger;University of Cincinnati;1982",North Carolina A&T State University
"Gaharan, Catherine;Louisiana State University;1988",Nicholls State University
"Gahin, Fikry S.;University of Wisconsin, Madison;1966",University of Utah
"Gai, Pham Thi;National Economics University;1988",National Economics University
"Galatin, Malcolm;Massachusetts Institute of Technology;1965",City College of New York
"Gale, Lewis;Arizona State University;1994","University of Louisiana, Lafayette"
"Gale, Louis;Arizona State University;1994","University of Louisiana, Lafayette"
"Gallagher, Charles J.;West Virginia University;1970",Virginia Commonwealth University
"Gallagher, Timothy J.;University of Illinois;1978",Colorado State University
"Gallegos, Alejandro;University of Wisconsin, Milwaukee;1986",Winona State University
"Gallimore, Courtney;Iowa State University;1994",Eastern Washington University
"Gallo, David E.;University of Oregon;1974","California State University, Chico"
"Gambles, Glenn C.;University of Maryland, College Park;1970","California State University, Sacramento"
"Gandhi, Bodapati;Texas A&M University;1983",University of Puerto Rico at Mayagüez
"Gandhi, Prem P.;The New School;1973",SUNY Plattsburgh
"Gannon, Gerry",Australian National University
"Gannon, Margaret",Marywood University
"Ganon, Michelle W.;University of Arizona;1996",Western Connecticut State University
"Gappmaier, Markus;Linz;1993",Brigham Young University
"Gappmaier, Markus;NewZealand;1993",Brigham Young University
"Garacia lara, Juan M.;Valencia;2002",Lancaster University
"Garcia, Margaret;University of Texas at Austin;1996",St. Francis College
"Garcia, Marilyn;University of California, Berkeley;1997",University of San Francisco
"Garcia, Norberto;National University of Córdoba",National University of Córdoba
"Gardner, Eldon J.;University of Toronto;1983",University of Lethbridge
"Gardner, Eldon;University of Toronto;1983",University of Lethbridge
"Gardner, Lara;University of North Carolina;2003",Florida Atlantic University
"Gardner, Mark L.;Georgia State University;1985",Piedmont College
"Garelli, Stephane;University of Lausanne;1973",International Institute for Management Development
"Garfinkle, Robert S.;Johns Hopkins University;1968",University of Connecticut
"Garlick, John R. Sr.;University of South Carolina;1989",South Carolina State University
"Garlin, Victor A.;University of California, Berkeley;1965",Sonoma State University
"Garnand, John J.;University of Colorado;1976",University of Colorado
"Garnel, Donald;University of California, Berkeley;1966",San Jose State University
"Garner, Phillip D.;Brown University;2002",Brigham Young University
"Garnier, Bernard G.;University of Western Ontario;1976",Universite Laval
"Garnier, Bernard G.;University of Western Ontario;1981",Universite Laval
"Garren, Kenneth;Virginia Polytechnic Institute and State University;1968",Roanoke College
"Garrett, Carol;Georgia State University",Mount St. Mary's College 
"Garrett, Carol;Georgia State University;1985",Mount St. Mary's College 
"Garrett, Richard D.;The New School",Marymount Manhattan College
"Garrigan, Richard T.;University of Wisconsin, Madison;1973",DePaul University
"Garris, John M.;Clemson University;1984",University of North Carolina Wilmington
"Garrison, R. Bruce;University of Northern Colorado;1975",Houston Baptist University
"Gaspar, Jess;Stanford University;1997",University of Chicago
"Gasper, Juli-Ann;University of Nebraska;1984",Creighton University
"Gasper, Louis C.",University of Dallas
"Gaston, Leonard G.;Ohio State University;1969",Central State University
"Gatlin, Kerry P.;University of Oklahoma;1982",University of North Alabama
"Gatlin, Larry P.;University of Oklahoma;1982",University of North Alabama
"Gattis, Lou;George Mason University","University of Maryland, College Park"
"Gau, Carolina;University of Missouri",Alcorn State University
"Gau, Paul K.;University of Illinois;1971",Alcorn State University
"Gauch, Ronald;New York University;1970",Marist College
"Gaulden, Corbett;Louisiana State University;1980","University of Texas, Permian Basin"
"Gaumnitz, Carol B.;University of Wisconsin, Madison;1985",Metropolitan State University
"Gean, G. Farrell;Georgia State University;1981",Pepperdine University
"Geary, K. Michael (Mike);University of Cincinnati;1982",University of Dayton
"Geary, K. Michael;University of Cincinnati;1982",University of Dayton
"Geddes, Raymond R.;University of Chicago;1991",Fordham University
"Geeding, Daniel W.;University of Cincinnati;1972",Xavier University
"Geigle, Ray;University of Washington;1971","California State University, Bakersfield"
"Geller, A. Neal;Syracuse University;1977",Cornell University School of Hotel Administration
"Gemello, John M.;Stanford University;1974",San Francisco State University
"Genetay, Nadege V.R.;Bangor University;1996",University of Manchester
"Geng, L.;University of Alberta",Lakehead University
"Gensemer, Bruce L.;University of Michigan;1966",Kenyon College
"Gentenaar, Robert;Michigan State University;1977",Hope College
"George, John D.;University of Alabama;1975",Liberty University
"George, Nashwa E.;CUNY, Baruch College;1988","CUNY, Hunter College"
"George, Robert G.;University of Chicago;1984",Fordham University
"Georgianna, Daniel L.;University of Massachusetts;1977",University of Massachusetts
"Gerber, Quentin N.;University of Minnesota;1977",Saint John's University
"Gerin-Lajoie, Jean;McGill University",HEC Montreal
"Gerlach, Jeff;Indiana University;2001",College of William & Mary
"Gerrand, W.;York University;1995",University of Leeds
"Gerrard, Michael J.;University of London;1976",University of Adelaide
"Gerrity, Thomas P.;Massachusetts Institute of Technology;1970",University of Pennsylvania
"Getz, D. P.;University of Edinburgh;1981",University of British Columbia
"Geyikdogi, Yasar;University of Bath",SUNY Old Westbury
"Geyleni, Pinar;Pennsylvania State University;2004",Duquesne University
"Ghahramani, Saeed;University of California",Western New England College
"Ghahramani, Saeed;University of California, Berkeley",Western New England College
"Gharrity, Norman J.;Johns Hopkins University;1966",Ohio Wesleyan University
"Ghatak, Maintreesh;Harvard University;1996",University of Chicago
"Ghazalah, Ismail A.;University of California, Berkeley;1969",Ohio University
"Ghebrat, Ezra;The New School;1982",New Jersey City University
"Ghebreyesus, Ghirmay;University of Strathclyde;1988",Grambling State University
"Ghebreyohannes, Keleta;Colorado State University",Grambling State University
"Ghez, Gilbert R.;Columbia University;1970",Roosevelt University
"Ghirmay, Ghebreyesus;University of Strathclyde",Southern University and A&M College
"Ghobashy, Mohamed E.;Intl Com;1963",Indiana University of Pennsylvania
"Ghorashi, Gholam-Reza;Fordham University;1986",Stockton University
"Ghoreishi, Minoo;University of Arkansas;1987",Millersville University
"Ghorpade, Jaisingh V.;University of California, Los Angeles;1968",San Diego State University
"Ghosal, Monojit;Bihar;1964",Valdosta State University
"Ghosh, Arabinda;CUNY;1972",William Paterson University of New Jersey
"Ghosh, Daimayanti;University of Southern California;1987",Binghamton University
"Ghosh, Roy Attrayee;University of Nebraska;1997","Minnesota State University, Mankato"
"Ghosh, Stanley;Indiana University;1950",Hawaii Pacific University
"Ghosh, Sudip;West Virginia University;1999",West Virginia State University
"Ghosn, Josef;University of Massachusetts;1998",Southern Adventist University
"Ghosual, Sumantra;Massachusetts Institute of Technology",London Business School
"Giamalva, John;University of Arkansas;1998",Southeastern Louisiana University
"Giambatista,;University of Wisconsin, Madison;1999",Texas Tech University
"Gianchetta, Larry D.;Texas A&M University;1975",University of Montana
"Giannakouros, George;University of Iowa;1974",Loras College
"Giannoros, Demetrios;Boston University;1981",University of Hartford
"Gibb, Arthur Jr.;University of Michigan;1974",U.S. Naval Academy
"Gibbons, Earl F.;University of Pittsburgh",Longwood University
"Gibbs, W. Ernest;Rutgers University;1987",University of Central Florida
"Gibson, Amy D.;University of Alabama;2003",Christopher Newport University
"Gibson, Ann M.;Washington State University;1992",Andrews University
"Gibson, Ann;Washington State University;1992",Andrews University
"Gibson, Jo Anne;University of Mississippi;1972",Southeastern Louisiana University
"Giesber, Frank W.;University of Texas at Austin;1978",Texas Lutheran University
"Giesbrecht, Martin G.;University of Munich;1958",Northern Kentucky University
"Gilbert, Adair;University of Alabama;1976","Troy State University, Dothan"
"Gilbert, Adair;University of Alabama;1982","Troy State University, Dothan"
"Gilbert, Howard A.;Oregon State University;1967",South Dakota State University
"Gilbertson, Dai W.;University of Victoria",Victoria University of Wellington
"Gilbreath, L. Kent;University of Florida;1971",Baylor University
"Giles, Jill;Rutgers University;1998",Seton Hall University
"Giles, Leon G.;University of Illinois;1971",University of Denver
"Gill, John W.;University of Mississippi;1992",Alcorn State University
"Gill, Roger",University of Strathclyde
"Gillespie, Jackson F.;Virginia Polytechnic Institute and State University;1978",University of Delaware
"Gillette, Lynn G.;Texas A&M University;1980",Houston Baptist University
"Gillette, Lynn G.;Texas A&M University;1981",Houston Baptist University
"Gilliam, Kenneth P.;Lehigh University;1976",Kennesaw State University
"Gilmer, R. H. Jr.;University of Illinois;1982",Mississippi State University
"Gilmore, J. Barry;University of Oklahoma;1971",University of Memphis
"Gilsdorf, Keith F.;University of Nebraska;1990",Morningside College
"Gilson, Preston;Saint Louis University;1992",Fort Hays State University
"Gilson, Preston;Saint Louis University;1993",Fort Hays State University
"Gin, Alan;University of California, Santa Barbara;1987",University of San Diego
"Giovannini, Mary;University of Missouri;1980",Truman State University
"Giovinazzo, Vincent J.;New York University;1971",Georgia State University
"Girard, Aline C.;University of Tennessee;1990",HEC Montreal
"Giriando, Anthony;Nova Southeastern University",Saint Joseph's College
"Girlando, Anthony;Nova Southeastern University",Saint Joseph's College
"Girton, Lance;University of Chicago;1976",University of Utah
"Gishlick, Herbert E.;University of Pennsylvania;1973",Rider University
"Gist, Marilyn;University of Maryland, College Park;1985",University of Washington
"Giullian, Marc A.;University of Illinois;1996","University of Louisiana, Lafayette"
"Gjesdal, Froystein;Stanford University;1979",Norwegian School of Economics
"Glasgow, Kay M.;Texas A&M University;1998",California Polytechnic State University
"Gleason, Anne E.;Florida State University;1990",University of Central Oklahoma
"Glendening, Richard N.;Iowa State University;1993",Central College (Iowa)
"Glick, Leonard J.;Harvard University;1972",Northeastern University
"Glidden, Priscilla;Massachusetts Institute of Technology;1983",Bentley College
"Glidewell, Edward;Pennsylvania State University;2004",Massey University
"Glover, Robert I.;University of Arkansas;1975",Loyola University New Orleans
"Glustoff, Errol;Stanford University;1969",University of Tennessee
"Gnauck, Brian G.;University of Minnesota;1968",Northern Michigan University
"Gnizak, Charles J.;Kent State University;1993",Fort Hays State University
"Gnuschke, John E.;University of Missouri;1975",University of Memphis
"Gober, Jerald R.;Texas Tech University;1994",Lenoir-Rhyne College
"Gochenover, John;Florida Institute of Technology;1985",Barry University
"Gocmen, Tuncer;West Virginia University;2005",Shepherd University
"Goddard, Frederick O.;Duke University;1967",University of Florida
"Goddard, Robert D. III;University of South Carolina;1981",Appalachian State University
"Godfrey, L. Howard;University of Alabama;1975","University of North Carolina, Charlotte"
"Goebel, E. L. (Jack);University of Georgia;1968",Francis Marion University
"Goebel, E. L.;University of Georgia;1968",Francis Marion University
"Goelz, Paul C.;Northwestern University;1954",St. Mary's University
"Goer, Marshall;University of Oregon;1968",Thunderbird School of Global Management
"Goff, Delbert C.;Florida State University;1991",Appalachian State University
"Goho, Thomas S.;University of North Carolina;1970",Wake Forest University
"Gold, Barry A.;Columbia University;1978",Pace University
"Goldberg, Alan;University of Massachusetts;1977","California State University, East Bay"
"Goldberg, Isadore;University of Maryland, College Park;1959",University of the District of Columbia
"Goldberg, Roger H.;Indiana University;1981",Ohio Northern University
"Goldsmith, Art;Cornell University;1981",University of Massachusetts
"Goldsmith, Geoffrey;Kent State University;1996",Belhaven College
"Goma, Ahmed Tawfik;CUNY, Baruch College;1985",Manhattan College
"Gomaa, Ismail I.;University of Florida;1982",King Saud University
"Gomersall, C. Nicholas;Cornell University;1991",Luther College
"Gondwe, Derrick K.;University of Manitoba;1978",Gettysburg College
"Gonos, George",SUNY Potsdam
"Gonos, George;Rutgers University",SUNY Potsdam
"Gonzalez, Jorge;Texas A&M University;2000","University of Wisconsin, Milwaukee"
"Good, Delmar;University of Illinois;1970",Goshen College
"Goodfellow, Reginald A.;Bowling Green State University;1973","California State University, Sacramento"
"Goodhart, Edward S.;Pennsylvania State University;1982",Shippensburg University
"Gooding, Carl W.;University of Georgia;1976",Georgia Southern University
"Gooding, Elmer R.;University of Kansas;1969",Arizona State University
"Goodman, Marshall;Ohio State University;1982","University of Wisconsin, Milwaukee"
"Goodrich, James A.;University of California, Los Angeles;1979",Willamette University
"Goodwin, Jennifer D.;Lincoln University (New Zealand);1995",University of Queensland
"Goodwin, Randall B.;University of Georgia;1982",Kennesaw State University
"Goolsby, William C.;University of Wisconsin, Madison;1974","University of Arkansas, Little Rock"
"Goolsby, William C.;University of Wisconsin, Milwaukee;1974","University of Arkansas, Little Rock"
"Gorcau, Suleyman;CUNY",Saint Peter's University
"Gordon, Ken;Northwestern University;1973",University of Colorado
"Gore, J. P. O.;Lancaster University;1989",Lancaster University
"Gorjidooz, Javad;Indiana University;1985",Adams State University
"Gorman, F. Barry;University of Bath;1991",Saint Mary's University
"Gorman, Gary;University of Stirling;2001",Memorial University of Newfoundland
"Gorman, Phillip C.;University of Illinois;1998","California State University, Northridge"
"Gotschall, Tiffani A.;Binghamton University",Washington & Jefferson College
"Gottheimer, George;California Coast University",College of Insurance
"Gottlieb, Max M.;Gdanst","CUNY, College of Staten Island"
"Gould, Karen;University of Oregon;1975",University of Cincinnati
"Gould, Lawrence I.;University of Toronto;1975",University of Manitoba
"Goulet, Janet C.;University of Notre Dame;1975",Wittenberg University
"Goulet, Peter G.;Ohio State University;1970",University of Northern Iowa
"Goulet, Waldemar M.;Michigan State University;1973",Wright State University
"Gowens, Paul R.;University of Mississippi;1973",Texas State University
"Gownsaukaran, Gautam;Yale University;1995",University of Minnesota
"Graber, Dean E.;University of Missouri;1970",Northeastern State University
"Graber, Robert S.;University of New Orleans;1997",American College
"Grabowski, Martha;Rensselaer Polytechnic Institute;1987",LeMoyne College
"Grace, Bruce K.;Louisiana State University;1995",Morehead State University
"Grace, Bruce;Louisiana State University;1995",Morehead State University
"Graff, Lois;New York University;1969",George Washington University
"Graham, Curtis C.;University of Oklahoma;1968",New Mexico State University
"Graham, Glenn;Binghamton University;1995",SUNY Oswego
"Graham, John G.;University of Arkansas;1971",Kansas State University
"Graham, John R.;University of Arkansas;1971",Kansas State University
"Graham, Patricia E.;Colorado State University;1988",University of Northern Colorado
"Grambo, Ronald J.;Pennsylvania State University;1981",University of Scranton
"Grandes, Maria Jesus;Poly Cet",University of Navarra
"Granfield, Michael E.;Duke University;1970","University of California, Riverside"
"Grange, E. Vance;University of Texas at Austin;1987",Utah State University
"Granger, M. Parker II;University of Arkansas;1980",Jacksonville State University
"Granitz, Elizabeth;University of California, Los Angeles",Long Island University
"Grant, Clayton;Clemson University;1971",North Georgia College & State University
"Grant, Clayton;Clemson University;1972",North Georgia College & State University
