dep,name,rank,area,degree,grad_year,school,since,annotation
Alabama A&M University,"Yousif, Salah A.",Asst,AJ,MA,67,Howard,1976,
Alabama A&M University,"Adcock, Marvin",Inst,,,,,,
Alabama A&M University,"Briggs, Charles",Inst,A,MS,90,Alab A&M,1990,
Alabama A&M University,"Gebremikael, Fesseha",Inst,A,MS,97,Alab A&M,1996,
Alabama A&M University,"McGuire, Wanda",Exec,,,,,,
Alabama State University,"Vaughn, Percy J. Jr.",Dean,Mktg,DBA,75,Tx Tech,1974,
Alabama State University,"Yeh, Chiou-Nan",C-Pr,,PHD,74,Mass,1974,
Alabama State University,"Bakir, Saad T.",Assoc,CM,PHD,77,Va Tech,1-93,
Alabama State University,"Suwanakul, Sontachai",Assoc,,PHD,86,Arkansas,1989,
Univ of Alaska Anchorage,"Case, Thomas",Dean,Sys,MS,76,S Calif,2002,
Univ of Alaska Anchorage,"Johnson, Paul R.",C-Ac,,PHD,85,Rochester,1989,
Univ of Alaska Anchorage,"Huskey, Lee",Prof,AJR,PHD,77,Wash U,1977,
Univ of Alaska Anchorage,"Jackstadt, Stephen L.",Prof,AEH,EDD,81,Indiana,1985,
Univ of Alaska Anchorage,"Ross, Larry L.",Prof,ADE,MS,71,Oregon,1971,
Univ of Alaska Anchorage,"Hill, Pershing J.",Assoc,EFH,PHD,76,Wash St,1975,
Univ of Alaska Anchorage,"Edwards, Wayne",Asst,AJR,PHD,0,Nebraska,2000,
Univ of Alaska Fairbanks,"Collins, James M.",D-As$,Mgt,PHD,91,Tx-Austin,1991,
Univ of Alaska Fairbanks,"Pippenger, Michael",H-As,,PHD,90,Purdue,1991,
Univ of Alaska Fairbanks,"Goering, Gregory",Assoc,,PHD,90,Purdue,1990,
Univ of Alaska Fairbanks,"Hermann, Mark",Assoc,,PHD,90,Wash St,1990,
Univ of Alaska Fairbanks,"Logan, Robert",Assoc,,PHD,86,Iowa,1986,
Univ of Alaska Fairbanks,"Read, Colin",Assoc,,PHD,88,Queen's,1989,
Univ of Alaska Fairbanks,"Reynolds, Douglas",Asst,,PHD,,,,
Univ of Alaska Southeast,"Schmidt, Karen",Dean,,PHD,,,,
Univ of Alaska Southeast,"Ahrens, Ashley",Asst,,PHD,,,,
Albany State University,"Ojemakinde, Abiodun",Dean,M,PHD,89,LSU,9-89,
Albany State University,"Norton, Virgil",Prof,QI,PHD,63,Oregon St,1-01,
Albany State University,"Rogers, Michael",Prof,L,PHD,88,Tennessee,9-89,
Albany State University,"Ansari, Mohammed",Assoc,F,PHD,89,Simon Fr,8-01,
Albany State University,"Norton, Nancy",Assoc,Q,PHD,94,W Virginia,1-01,
Albion College,"Christiansen, Daniel S.",C-Pr,CD,PHD,75,Stanford,1981,
Albion College,"Hooks, Jon A.",Prof,G,PHD,89,Mich St,1989,
Albion College,"McCarley, James F.",Prof,J,PHD,70,Mich St,1965,
Albion College,"Saltzman, Gregory M.",Prof,J,PHD,82,Wisconsin,1982,
Albion College,"Steinhauer, Larry",Prof,E,PHD,74,Chicago,1968,
Albright College,"Bell, Christine A.",C-As,,MBA,77,Temple,1989,
Albright College,"Martin, David A.",Prof,,DA,80,Lehigh,1983,
Albright College,"Lever, Jacqueline",Assoc,,PHD,82,Pittsburgh,1990,
Albright College,"Saboori, Farhad",Assoc,,PHD,85,Indiana,1986,
Albright College,"Wilder, Lisa A.",Asst,,PHD,95,Va Tech,2001,
Alcorn State University,"Cotton, Bernard",Dean$,PolS,PHD,78,Wash St,1971,
Alcorn State University,"Morris, Alpha",C-Ac,Soc,PHD,77,Miss St,,
Alcorn State University,"Gau, Carolina",Prof,,PHD,,Missouri,,
Alcorn State University,"Gau, Paul K.",Prof,,PHD,71,Illinois,1972,"Coordinator, Economics"
Alfred University,"Duserick, Frank",Dean$,,MBA,72,Harvard,1978,
Alfred University,"Rvane, Claret",C-Ac,,PHD,94,Ca-Rivers,7-99,
Alfred University,"Taylor, Travis K.",Asst,,PHD,1,Conn,2002,
Allegheny College,"Casler, Stephen D.",C-Pr,ACEQ,PHD,83,Illinois,1988,
Allegheny College,"Adams, Earl W. Jr.",Prof,AEGH,PHD,71,MIT,1972,Andrew Wells Robertson Professor of Economics
Allegheny College,"Cupper, Robert Dean",Prof,ACD,PHD,74,Pittsburgh,1977,
Allegheny College,"Afrasiabi, Ahmad",Assoc,BCQR,PHD,85,W Virginia,1985,
Allegheny College,"Baskan, Asuman",Assoc,CDFE,PHD,88,Lehigh,1987,
Allegheny College,"Goldstein, Donald",Assoc,ABG,PHD,91,Mass,1989,
Allegheny College,"Moskwa, Antoni",Assoc,AFCP,PHD,75,Warsaw,1982,
Allegheny College,"Nonnenmacher, Tomas",Asst,DKLN,PHD,96,Illinois,1996,
Allegheny College,"Onyeiwu, Stephen Z.",Asst,ADLM,PHD,97,Conn,2001,
Alma College,"Mueller, James V.",C-Ac,ABEH,ABD,,Ca-Irvine,1976,
Alma College,"Choksy, George Dorian",Assoc,DNRC,PHD,86,Tennessee,1989,
Alma College,"Cummingham, Robert",Asst,,PHD,,SUNY-Bin,1999,
American University,"Mussell, Kay",Dean,,PHD,74,Iowa,1999,
American University,"Sawers, Larry",C-Pr,ONQR,PHD,69,Michigan,1969,
American University,"Blecker, Robert A.",Prof,FD,PHD,87,Stanford,1985,
American University,"Bradford, Colin",Prof,O,PHD,70,Columbia,1998,
American University,"Broder, Ivy E.",Prof,C,PHD,74,SUNY-SBr,1975,
